match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,season
308,1,Chennai Super Kings,Mumbai Indians,20,3,SB Jakati,DE Bollinger,SL Malinga,0,0,0,0,0,0,0,0,0,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,20,4,SB Jakati,DE Bollinger,SL Malinga,0,0,0,0,0,0,1,0,1,,,,2012
308,1,Chennai Super Kings,Mumbai Indians,20,5,DE Bollinger,SB Jakati,SL Malinga,0,0,0,0,0,0,0,0,0,DE Bollinger,caught,RG Sharma,2012
308,2,Mumbai Indians,Chennai Super Kings,1,1,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,1,2,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,1,3,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,1,4,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,1,5,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,1,6,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,1,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,4,0,4,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,2,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,3,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,4,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,4,0,4,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,5,RE Levi,SR Tendulkar,DE Bollinger,0,1,0,0,0,0,0,1,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,6,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,2,7,SR Tendulkar,RE Levi,DE Bollinger,0,0,0,0,0,0,0,0,0,,,,2012
